model,brand,price,rating,ratings_count,reviews_count,ram,rom,battery,display_inch,rear_camera,front_camera,processor
"Samsung Galaxy S26 Ultra 5G (Cobalt Violet, 512 GB)",Samsung,129999.0,4.5,189.0,19.0,12,512,5000,6.9,200MP + 50MP,12MP,Snapdragon 8 Elite Gen 5 Processor
"Samsung Galaxy S26 5G (Sky Blue, 256 GB)",Samsung,87999.0,4.6,60.0,6.0,12,256,4300,6.3,50MP + 12MP,12MP,2600 Processor
"realme P4x 5G (Matte Silver, 128 GB)",realme,16999.0,4.4,174.0,680.0,6,128,7000,6.72,50MP + 2MP,8MP,Dimensity 7400 Ultra Processor
"Ai+ Pulse 1 (Blue, 64 GB)",Ai+,7499.0,4.3,330.0,794.0,4,64,5000,6.745,50MP,5MP,T615 Processor
"Samsung Galaxy S26+ 5G (Cobalt Violet, 512 GB)",Samsung,139999.0,0,0.0,0.0,12,512,4900,6.7,50MP + 12MP,12MP,2600 Processor
"IQOO Z10 5G (Glacier Silver / Silver, 128 GB)",IQOO,23679.0,4.4,100.0,291.0,8,128,7300,6.7,50MP,0,0
"REDMI A5 (Just Black, 128 GB)",REDMI,8999.0,4.2,349.0,253.0,4,128,5200,6.88,32MP,8MP,T7250 Processor
"IQOO Z10 Lite 5G (Cyber Green, 128 GB)",IQOO,13690.0,4.2,952.0,124.0,4,128,6000,6.74,50MP,0,0
"Ai+ Pulse 1 (Black, 128 GB)",Ai+,8499.0,4.1,426.0,471.0,6,128,5000,6.745,50MP,5MP,T615 Processor
"IQOO Z10X 5G (Ultramarine, 128 GB)",IQOO,17190.0,4.4,467.0,518.0,6,128,6500,6.7,50MP,0,0
"realme P4x 5G (Lake Green, 128 GB)",realme,16999.0,4.4,174.0,680.0,6,128,7000,6.72,50MP + 2MP,8MP,Dimensity 7400 Ultra Processor
"REDMI A4 (Sparkle Purple, 128 GB)",REDMI,12494.0,4.3,41.0,653.0,4,128,5160,6.88,50MP,0,0
"Ai+ Pulse 2 (Green, 64 GB)",Ai+,7499.0,4.6,14.0,76.0,4,64,6000,6.745,50MP,8MP,T7250 Processor
"REDMI A5 (Pondicherry Blue, 64 GB)",REDMI,7999.0,4.1,745.0,361.0,3,64,5200,6.88,32MP,8MP,T7250 Processor
"vivo T5x 5G (Star Silver, 128 GB)",vivo,20999.0,4.6,365.0,85.0,8,128,7200,6.76,50MP + 2MP,32MP,Dimensity 7400-Turbo Processor
"MOTOROLA g06 power (Pantone tapestry, 64 GB)",MOTOROLA,8999.0,4.3,774.0,682.0,4,64,7000,6.88,50MP,8MP,Helio G81 Processor
"Samsung Galaxy F06 5G (Lit Violet, 128 GB)",Samsung,10999.0,4.2,407.0,718.0,4,128,5000,6.7,50MP + 2MP,8MP,Dimensity 6300 Processor
"REDMI A5 (Pondicherry Blue, 128 GB)",REDMI,8999.0,4.2,349.0,253.0,4,128,5200,6.88,32MP,8MP,T7250 Processor
"REDMI A5 (Jaisalmer Gold, 64 GB)",REDMI,7999.0,4.1,745.0,361.0,3,64,5200,6.88,32MP,8MP,T7250 Processor
"IQOO Z10R 5G (Aquamarine, 128 GB)",IQOO,22400.0,4.4,650.0,264.0,8,128,5700,6.77,50MP,0,0
Kechaoda A27,Kechaoda,899.0,4,646.0,881.0,32,32,800,0.66,0MP,0MP,NA Processor
"Ai+ Nova 5G (Pink, 128 GB)",Ai+,10999.0,3.9,39.0,490.0,8,128,5000,6.745,50MP,5MP,T8200 Processor
"Ai+ Pulse 1 (Black, 64 GB)",Ai+,7499.0,4.3,330.0,794.0,4,64,5000,6.745,50MP,5MP,T615 Processor
"Ai+ Nova 5G (Purple, 128 GB)",Ai+,9999.0,4.2,597.0,815.0,6,128,5000,6.745,50MP,5MP,T8200 Processor
LAVA A2 Smart,LAVA,1199.0,4,904.0,53.0,4,24,1200,2.4,1.3MP + 0MP,0MP,Mtk Processor
HOTLINE V63,HOTLINE,463.0,3.6,481.0,78.0,32,32,1000,1.8,1MP,0,0
"realme P4x 5G (Lake Green, 256 GB)",realme,19999.0,4.4,580.0,274.0,8,256,7000,6.72,50MP + 2MP,8MP,Dimensity 7400 Ultra Processor
"Nokia 105 Classic Single Sim Keypad Phone, Without Charger",Nokia,994.0,4,92.0,442.0,32,32,800,1.77,0MP Front Camera,0,SC6531E Processor
"IQOO Z10 5G (Stellar Black / Black, 128 GB)",IQOO,23649.0,4.4,100.0,291.0,8,128,7300,6.7,50MP,0,0
